json_path,sample_id,ball_count,sequence_length,collection_time,folder_name,relative_path
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_185247_695732_metadata.json,20250620_185247_695732,1,2,2025-06-20T18:53:08.348753,1_balls,1_balls/metadata/20250620_185247_695732_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_191938_135966_metadata.json,20250620_191938_135966,1,2,2025-06-20T19:19:39.767140,1_balls,1_balls/metadata/20250620_191938_135966_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_191621_503794_metadata.json,20250620_191621_503794,1,2,2025-06-20T19:16:36.221246,1_balls,1_balls/metadata/20250620_191621_503794_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_183051_175913_metadata.json,20250620_183051_175913,1,2,2025-06-20T18:31:04.807990,1_balls,1_balls/metadata/20250620_183051_175913_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_170713_708899_metadata.json,20250621_170713_708899,1,2,2025-06-21T17:07:19.936775,1_balls,1_balls/metadata/20250621_170713_708899_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_172942_428751_metadata.json,20250621_172942_428751,1,2,2025-06-21T17:29:46.271312,1_balls,1_balls/metadata/20250621_172942_428751_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_180832_712555_metadata.json,20250620_180832_712555,1,2,2025-06-20T18:08:41.711523,1_balls,1_balls/metadata/20250620_180832_712555_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_184344_089092_metadata.json,20250620_184344_089092,1,2,2025-06-20T18:43:45.640770,1_balls,1_balls/metadata/20250620_184344_089092_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_170936_700767_metadata.json,20250621_170936_700767,1,2,2025-06-21T17:10:11.632582,1_balls,1_balls/metadata/20250621_170936_700767_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_192159_575869_metadata.json,20250620_192159_575869,1,2,2025-06-20T19:22:09.386079,1_balls,1_balls/metadata/20250620_192159_575869_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_170744_996029_metadata.json,20250621_170744_996029,1,2,2025-06-21T17:07:57.350776,1_balls,1_balls/metadata/20250621_170744_996029_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_173105_172482_metadata.json,20250621_173105_172482,1,2,2025-06-21T17:31:11.560444,1_balls,1_balls/metadata/20250621_173105_172482_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_182553_264317_metadata.json,20250620_182553_264317,1,2,2025-06-20T18:26:04.462094,1_balls,1_balls/metadata/20250620_182553_264317_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_183702_529080_metadata.json,20250620_183702_529080,1,2,2025-06-20T18:37:23.154733,1_balls,1_balls/metadata/20250620_183702_529080_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_190159_520720_metadata.json,20250620_190159_520720,1,2,2025-06-20T19:02:09.433526,1_balls,1_balls/metadata/20250620_190159_520720_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_171310_693970_metadata.json,20250621_171310_693970,1,2,2025-06-21T17:13:15.746739,1_balls,1_balls/metadata/20250621_171310_693970_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_190454_023635_metadata.json,20250620_190454_023635,1,2,2025-06-20T19:05:12.249335,1_balls,1_balls/metadata/20250620_190454_023635_metadata.json
