json_path,sample_id,ball_count,sequence_length,collection_time,folder_name,relative_path
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_183636_080508_metadata.json,20250620_183636_080508,1,2,2025-06-20T18:36:55.462806,1_balls,1_balls/metadata/20250620_183636_080508_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_170510_173084_metadata.json,20250621_170510_173084,1,2,2025-06-21T17:05:15.041671,1_balls,1_balls/metadata/20250621_170510_173084_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_165309_261416_metadata.json,20250621_165309_261416,1,2,2025-06-21T16:53:28.858694,1_balls,1_balls/metadata/20250621_165309_261416_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_165849_196983_metadata.json,20250621_165849_196983,1,2,2025-06-21T16:58:55.417504,1_balls,1_balls/metadata/20250621_165849_196983_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_162817_548085_metadata.json,20250621_162817_548085,1,2,2025-06-21T16:28:41.794437,1_balls,1_balls/metadata/20250621_162817_548085_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_191726_360093_metadata.json,20250620_191726_360093,1,2,2025-06-20T19:17:33.855150,1_balls,1_balls/metadata/20250620_191726_360093_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_191326_008805_metadata.json,20250620_191326_008805,1,2,2025-06-20T19:13:43.175210,1_balls,1_balls/metadata/20250620_191326_008805_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_175722_192813_metadata.json,20250620_175722_192813,1,2,2025-06-20T17:57:29.577823,1_balls,1_balls/metadata/20250620_175722_192813_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_182930_312623_metadata.json,20250620_182930_312623,1,2,2025-06-20T18:29:47.521968,1_balls,1_balls/metadata/20250620_182930_312623_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_174749_732834_metadata.json,20250621_174749_732834,1,2,2025-06-21T17:48:00.607051,1_balls,1_balls/metadata/20250621_174749_732834_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_175617_001746_metadata.json,20250620_175617_001746,1,2,2025-06-20T17:56:31.230030,1_balls,1_balls/metadata/20250620_175617_001746_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_185556_553523_metadata.json,20250620_185556_553523,1,2,2025-06-20T18:56:23.009582,1_balls,1_balls/metadata/20250620_185556_553523_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_191131_744229_metadata.json,20250620_191131_744229,1,2,2025-06-20T19:12:01.897235,1_balls,1_balls/metadata/20250620_191131_744229_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250621_172452_140232_metadata.json,20250621_172452_140232,1,2,2025-06-21T17:25:09.362373,1_balls,1_balls/metadata/20250621_172452_140232_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_192449_304286_metadata.json,20250620_192449_304286,1,2,2025-06-20T19:25:00.490008,1_balls,1_balls/metadata/20250620_192449_304286_metadata.json
scratch/Ball_counting_CNN/ball_data_collection/1_balls/metadata/20250620_192434_816134_metadata.json,20250620_192434_816134,1,2,2025-06-20T19:24:36.470147,1_balls,1_balls/metadata/20250620_192434_816134_metadata.json
